Entity1,Entity2,Relation,Example
大众,Hubject,company/company/invest,大众投资了“电子漫游”平台Hubject，该公司成立于2012年，专门连接各个电动汽车充电站点。
软银,WeWork,company/company/invest,软银计划向众创空间WeWork投资超过30亿美元
新华联,ofo,company/company/invest,新华联称投资2500万美元入股ofo，占2.15%股份
福特,Velodyne,company/company/invest,福特自己也已经投资了研发车载激光雷达的Velodyne公司，以及以色列研发机器学习和计算机视觉的公司SAIPS
蚂蚁金服,永安行,company/company/invest,在蚂蚁金服投资永安行后，双方的合作也正式展开
真格,Orbeus,company/company/invest,这家人工智能领域获得真格早期投资的图片识别技术公司 Orbeus
红杉资本,Jawbone,company/company/invest,从1999年成立至今，Jawbone共融资近9.51亿美元，投资方包括安德森·霍罗威茨(Andreessen Horowitz)、红杉资本、凯鹏华盈、摩根大通、梅菲尔德(Mayfield)、科斯拉(Khosla)等著名机构
福特,Argo AI,company/company/invest,"福特对Argo AI投资10亿美元 正式步入无人驾驶行列,据国外科技新闻报道，知名汽车制造商福特汽车公司(Ford Motor Co)日前宣布，计划在未来五年对初创科技公司Argo AI投资10亿美元，这将是福特在无人驾驶领域最大一笔投资"
软银,阿里巴巴,company/company/invest,2014年9月，阿里巴巴在美国纳斯达克成功上市后，孙正义的日本软银套现了阿里巴巴的7%左右的股份用于软银集团的账务偿还，此时在软银在阿里的持股比例下降到了28%左右
IDG,5miles,company/company/invest,C2C推荐引擎 5miles获IDG等2000万美元B轮投资
红杉资本,斗鱼直播,company/company/invest,近期直播行业较大的一笔融资事件为：2016年8月15日消息，斗鱼直播获15亿人民币C轮融资，由凤凰资本、腾讯领投， ? ? ? 红杉资本中国、南山资本跟投
通用,Lyft,company/company/invest,自今年初，通用投资Lyft之后，通用在交通出行领域也推出了自己的出行服务Maven
阿里巴巴,Paytm E-commerce Pvt,company/company/invest,据知情人士透露，中国的阿里巴巴集团将牵头一轮2亿美元的投资，投资对象为新创建的印度网上零售商Paytm E-commerce Pvt
软银,阿里,company/company/invest,为了收购ARM，软银首次抛售阿里股权，截至目前，该公司仍然持有阿里巴巴28%的股权
福特,Civil Maps,company/company/invest,福特还投资了Civil Maps，用于自动驾驶汽车的高级地图测绘技术研发
保时捷,Evopar,company/company/invest,保时捷投资了泊车服务商Evopark；
通用,Lyft,company/company/invest,2016年，通用汽车花费近10亿美元资金收购自动驾驶技术初创公司Cruise Automation、向网约租车公司Lyft投入5亿美元、发布了全新车辆共享品牌Maven，还发布了一款全新电动汽车雪佛兰Bolt
晨兴创投,学吧课堂,company/company/invest,K12 在线教育公司学吧课堂已经获得晨兴创投千万级人民币 pre-A 轮投资
百度,易车网,company/company/invest,北京商报讯（记者 魏蔚）在拿到京东腾讯联合投资15.5亿美元后18个月，易车网再度获得巨头注资，此次易车网的产业投资方名单上多了百度
红杉资本,Google,company/company/invest,在他背后，是红杉资本（Sequoia Capital）所投资并已上市的公司Logo墙，包括苹果电脑、YAHOO！、思科、Google等
京东金融,高登世德,company/company/invest,在技术领域，京东金融去年9月份投资了提供资产证券化信息系统服务的高登世德，并借此搭建了京东金融自己的ABS云平台
红杉资本,Flipagram,company/company/invest,Flipagram最近一轮融资发生在2015年7月，获得包括红杉资本、KPCB（全球）和IndexVentures在内的投资方7000万美元B轮融资
通用,Lyft,company/company/invest,在Lyft的F轮融资中，通用汽车向Lyft投资5亿美元，同时双方将在面向Lyft司机的汽车租赁服务和无人驾驶汽车方面进行合作
蚂蚁金服,Mynt,company/company/invest,蚂蚁金服投资菲律宾版支付宝Mynt公司
创新工场,乐啊科技,company/company/invest,Papi酱宣布获得1200万元人民币投资，本次投资由真格基金、罗辑思维、光源资本和星图资本联合注资
软银,tataUFO,company/company/invest,校园社交 tataUFO 获软银旗下基金投资
阿里巴巴,Infinity AR,company/company/invest,而2016年11月，另一家以色列AR公司Infinity AR则获得阿里巴巴1500万美元的领投支持
雪铁龙,Koolicar,company/company/invest,标致雪铁龙集团投资了法国汽车租赁平台Koolicar
经纬中国,真融宝,company/company/invest,真融宝的投资方是经纬中国
淡马锡,菜鸟网络,company/company/invest,淡马锡在2016年先后投资了“菜鸟网络”
福特,Pivotal,company/company/invest,"福特汽车公司总裁兼首席执行官说，“我们对Pivotal的投资将有助于我们以”硅谷速度”来提供这样的体验, 包括不断扩大我们的数字，物理和个人的移动体验平台FordPass"
阿里巴巴,口碑网,company/company/invest,口碑网成立于2015年6月，正值O2O生活服务平台激烈角逐时期，阿里巴巴和蚂蚁金服共同向口碑网投资约10亿美元，各占这家合资公司的50%的股权，同时淘点点业务并入口碑，并且口碑的业务推广重点却从外卖转向到店业务
通用,Lyft,company/company/invest,今年以来，通用汽车已宣布与汽车共享服务公司Lyft建立战略联盟，并发布了个人出行品牌Maven，将在美国诸多城市拓展车辆共享服务，预计通用也会加入该阵营，毕竟通用现在是Lyft最大的企业投资者，刚在1月投了5亿美元
携程,海鸥,company/company/invest,在10月份携程战略投资海鸥等三大地接旅行社
百度,易车网,company/company/invest,今年8月，京东再联合腾讯、百度投资5.5亿美元，注入易车网旗下专注于汽车融资的子公司易鑫资本，在最新发布的2016年Q2财报中，我们可以看到京东已成为易车的第一大股东，持有易车26%的股份
大众,Gett,company/company/invest,在那些寻求在共享汽车领域获得更多业务的大型汽车制造商中，大众汽车已经投资了打车应用Gett，通用汽车与Lyft达成了合作，丰田也与Uber达成了合作
福特,Argo AI,company/company/invest,福特已经宣布向无人驾驶初创公司ArgoAI投资10亿美元
红杉资本,今日头条,company/company/invest,今日头条已经完成了D轮融资，估值超过之前市场广为猜测的100亿美金，高达120亿，投资人除去此前的红杉资本和海纳亚洲外，还新加入了建银国际
福特,Argo AI,company/company/invest,美国当地时间2月10日，福特公司对外宣布将向位于匹兹堡的人工智能初创公司Argo AI投资10亿美元，成为该公司的实际控制方，而Argo AI将会为福特公司开发自动驾驶所必需的软件系统
完美世界,百度,company/company/invest,7月4日，百度宣布，旗下百度文学业务引入完美世界集团的战略投资，双方将以文学为连接点，在文学业务、版权业务、影游投资开发、影游产业链联动等方面展开深度合作
阿里巴巴,Lumus,company/company/invest,今天，以色列金融日报Calcalist 报道说，阿里巴巴也向Lumus投资了600万美元
福特,Argo AI,company/company/invest,另一位前谷歌汽车项目高管布莱恩·萨尔斯基(Bryan Salesky)离职后建立了Argo AI，就在上周刚刚得到了来自福特汽车公司10亿美元的投资
红杉资本,VIPKID,company/company/invest,2014年10月，VIPKID获得经纬中国领投、创新工场和红杉资本联合投资的500万美元A轮融资
真格基金,九阿哥,company/company/invest,专注 Office Massage，推拿 O2O “九阿哥” 获真格基金、3W 基金数百万元天使投资
英特尔,LTE,company/company/invest,英特尔将继续为合作伙伴提供支持，大力投资LTE
携程,百事通,company/company/invest,携程战略投资旅游百事通，意在通过旅游百事通拥有的5000多家门店，布局二三线城市
阿里巴巴,Infinity AR,company/company/invest,据了解，此前，阿里巴巴已经投资Magic Leap和Infinity AR
今日头条,机器之心,company/company/invest,今日头条投资人工智能科技媒体机器之心
软银,阿里,company/company/invest,有专业财经媒体评论说，“若是没有蔡崇信，阿里恐怕撑不过电子商务泡沫；没有他，阿里就拿不到软银资金、吃不下雅虎中国
英特尔,展讯,company/company/invest,英特尔宣布投资中国芯片公司展讯，今天双方合作后第一款产品终于落地
福特,Argo AI,company/company/invest,Argo AI 的灵活性也同样弥补了福特的规模化所带来的问题，福特的布局中也正好缺少这样一环，而目前相对成熟的公司多已经被收购或投资，亦或有着与福特不同的愿景，所以「新公司老江湖」也许是福特看好这笔投资的原因之一
大众,Gett,company/company/invest,公开数据显示，2015年大众集团年收入达2380亿美元，此次对Gett的投资的3亿美元相对于其收入而言无异于冰山一角，对Gett来说却是数额巨大的一笔进账
软银,阿里巴巴,company/company/invest,软银集团掌门孙正义，是在中国互联网市场大名鼎鼎的投资家，孙正义通过投资阿里巴巴获得了丰厚的回报，不过软银在过去的16年时间里，从来没有抛售过阿里巴巴股权，表明对于该公司的长远发展充满信心
阿里,Lazada,company/company/invest,今年4月，阿里以10亿美元投资有“东南亚亚马逊”之称、东南亚最大电商Lazada
富士康,摩拜单车,company/company/invest,获得富士康战略投资的摩拜单车已经陆续投放20多个城市
滴滴出行,ofo,company/company/invest,ofo宣布完成1.3亿美元C轮融资，包括滴滴出行数千万美元C1轮战略投资
通用,Lyft,company/company/invest,放长线、钓大鱼 据报道，通用对Lyft的投资有一个明确的目的，研发一队无人驾驶出租车
福特,Argo AI,company/company/invest,对Argo AI的10亿美元投资将在未来五年进行，这项投资符合福特自动驾驶汽车资金分配方案原则，该方案已于去年九月在“福特投资者日”上公布
阿里,饿了么,company/company/invest,本轮投资后阿里占股饿了么27.7%，成为第一大股东
高通公司,软银,company/company/invest,"据外媒4日报道，知情人士称，软银集团股份有限公司(SoftBank Group Corp., 9984.TO, 简称：软银)的新科技基金吸引了芯片制造商高通公司(Qualcomm Inc., QCOM)作为投资者，从而帮助这只规模庞大的基金实现筹资1,000亿美元的目标。"
创新工场,脑穿越VR,company/company/invest,脑穿越VR数月前已经获得一轮 Pre-A 轮融资，由创新工场等合投
谷歌,Terra Bella,company/company/invest,"该消息人士还透露,谷歌将成为Planet Labs的大股东,并继续基于对Terra Bella将可取得长期成功的期待而对其进行投资"
深创投,永安行,company/company/invest,公共自行车运营商永安行宣布完成A轮融资，投资方包括深创投等多家投资机构
携程,百事通,company/company/invest,2016年10月份，携程战略投资旅游百事通，实现对百事通的绝对控股
通用,Lyft,company/company/invest,通用的投资属于?Lyft?10?亿美元?F?轮融资的其中一部分，日本电商巨头乐天集团、沙特王国控股、骏利资产集团也参与了此次融资，使得?Lyft?最新估值达到?55?亿美元
真格基金,出门问问,company/company/invest,“出门问问” 2012 年成立，获得真格基金数百万的天使投资
通用,Lyft,company/company/invest,通用出资?5?亿美元，领投了?Lyft?总额为?10?亿美元的?F?轮融资，并且获得?Lyft?董事会的一个席位
红杉资本,今日头条,company/company/invest,这不，刚好遇上有心海外扩张和入局短视频领域，有着同一投资者红杉资本的今日头条
红杉资本,斗鱼,company/company/invest,2016年三月斗鱼完成一亿美元（6.7亿人民币）B轮投资，其中腾讯领头4亿，A轮投资者红杉资本及南山资本跟投，估值超过十亿美元
红杉资本,VIPKID,company/company/invest,2015年10月，VIPKID获得由北极光创投领投，经纬中国、红杉资本和创新工场的近2000万美元B轮融资
百度,易车网,company/company/invest,今年6月，易车网已经获得了腾讯、百度和京东各5000万美元的投资
通用,Lyft,company/company/invest,这是近期以来通用第二次在汽车共享方面进行投资，1月初该公司已经在Uber的竞争对手Lyft公司投资5亿美元，同时在Lyft董事会获得了一个席位
DST,ofo,company/company/invest,ofo此轮融资由全球最具影响力的投资机构之一DST(Digital Sky Technology)领投
滴滴,ofo,company/company/invest,正是在滴滴投资ofo敲定之后，其他投资人开始迅速跟进，ofo的估值一下子从此前的1.5亿美元上涨到3亿美元
阿里巴巴,Infinity AR,company/company/invest,阿里巴巴投资的以色列AR公司Infinity CEO Motti Kurshir在采访中表示
腾讯,京东,company/company/invest,与此同时我们也看到阿里的老对手京东也接受了腾讯的投资，引入腾讯成为最大机构股东，看重的也是腾讯旗下微信的社交能力，后来也证明京东和微信的联手，加速了京东社交电商的运营能力
红杉资本,谷歌,company/company/invest,美国红杉资本成立于1972年，从硅谷起步，迄今投资了700多家公司，这其中，包括了苹果、谷歌、雅虎、甲骨文等国际科技巨头
通用电器,Pivotal,company/company/invest,Pivotal在成立之初，就获得了工业巨头通用电器的投资，一家大数据公司，为什么先后吸引了两家工业巨头的巨额投资？Pivotal中国研发中心总经理冯雷日前接受澎湃新闻（www.thepaper.cn）采访，首次披露了这家总部位于硅谷的公司的战略方向
福特,Argo AI,company/company/invest,投资Argo AI是福特公司布局无人驾驶汽车计划的一部分。
软银,阿里,company/company/invest,软银出售的阿里股份总价值达到了89亿美元
腾讯,搜狗,company/company/invest,同时，财大气粗的腾讯也投资了不少人工智能公司，比如刚把人工智能当做重点发展方向的搜狗等等
百度,易车网,company/company/invest,而汽车之家的老对头易车网，则于今年6月获得了来自腾讯、百度、京东三方的3亿美元战略投资；8月，三方继续注资易车旗下的金融服务商易鑫资本，投资额达5.5亿美元
高盛,启明医疗,company/company/invest,启明医疗于近日召开发布会，宣布获得高盛3700万美元的投资
福特,Pivotal,company/company/invest,核心提示：?据国外媒体报道，福特汽车公司将向硅谷云计算软件公司Pivotal Software投资1.822亿美元，以充分利用硅谷在高科技方面的优势来促进公司的汽车业务发展
红杉资本,溜溜梅,company/company/invest,溜溜梅休闲食品获红杉资本近 1.5 亿元A轮投资
创新工场,点我吧,company/company/invest,外卖O2O平台“点我吧”获创新工场追加投资
软银,阿里,company/company/invest,2004年我们进入电商时，当当卓越都已经拿到C轮融资了，阿里也拿到了雅虎、软银10个亿美金的投资，在我们进入电商那一刻时，我们所有的竞争对手都绝对是大象级的，而我们只相当于一个小柜台
新浪,乐啊科技,company/company/invest,北京乐啊科技有限公司是由新浪和创新工场共同投资的
携程,MakeMyTrip,company/company/invest,携程于去年 1月以 1.8亿美元投资印度规模领先的在线旅游公司MakeMyTrip
IDG,小米,company/company/invest,IDG投资过小米等知名企业
阿里巴巴,Paytm,company/company/invest,同年，阿里巴巴和其子公司蚂蚁金服向印度最大手机钱包公司Paytm投资近6.8亿美元，持股40%
阿里巴巴,魅族,company/company/invest,魅族得到了阿里巴巴的战略投资
腾讯,饿了么,company/company/invest,腾讯向饿了么投资了3.5亿美元
红杉资本,斗鱼直播,company/company/invest,据公开资料显示，此前斗鱼直播已获3轮融资：2014年4月，获2000万人民币天使轮融资；2014年9月，获红杉资本中国1.1亿元A轮融资；2016年3月，获腾讯、红杉资本中国、南山资本6.5亿元B轮融资
东风汽车,神龙汽车,company/company/invest,神龙汽车是由中国东风汽车与法国标致雪铁龙集团公司(PSA)共同投资成立的合资企业，旗下品牌有东风标致、东风雪铁龙两品牌。
创新工场, SNH48,company/company/invest,创新工场对 SNH48 进行投资，是出于什么考虑
真格基金,Papi酱,company/company/invest,Papi酱宣布获得1200万元人民币投资，本次投资由真格基金等联合注资
普思资本,氪空间,company/company/invest,此次投资氪空间，基于普思资本对城市发展和更新的深刻理解
腾讯,Teambition,company/company/invest,近日，Teambition已确认于近期获得腾讯投资，这是腾讯在企业级SaaS领域为数不多的战略投资
富士康,摩拜单车,company/company/invest,摩拜单车先于ofo完成D轮融资，又获得富士康战略投资
软银,Snapdeal,company/company/invest,2015年8月，阿里巴巴联合富士康、软银在内的投资者向印度电商巨头Snapdeal投资了5亿美元
软银,Snapdeal,company/company/invest,由日本软银、阿里巴巴参与投资的Snapdeal占据了约12%的市场份额，排在第三位
大众,Gett,company/company/invest,大众集团5月24日宣布向Gett按需移动出行服务商投资3亿美元，期望从汽车共享市场中分得一杯羹
腾讯,膜拜单车,company/company/invest,新年刚开始，摩拜单车又完成了新一轮融资，从中国自行车共享服务的拥挤群体中脱颖而出，筹得2.15亿美元融资。由中国互联网巨头腾讯公司与美国华平投资联合领头。
祥峰基金,摩拜单车,company/company/invest,祥峰基金此前投资了ofo的竞争对手摩拜单车
腾讯,摩拜单车,company/company/invest,腾讯两次参与摩拜单车的融资投资，两者形成一定程度的利益绑定
福特,Argo AI,company/company/invest,福特汽车计划在未来五年向Argo AI投资10亿美元，旨在将福特自动驾驶汽车研发专长与Argo AI在机器人及人工智能软件领域的初创成功经验相结合，进一步推进在自动驾驶汽车领域的技术发展 　　?Argo AI由前谷歌和Uber高管创立，公司将把福特内外部的机器人专家和工程师纳入旗下，为即将在2021年推出的福特全自动驾驶车辆开发一款新型软件平台；Argo AI员工可通过参股，共享初创企业的成长 　　?对Argo AI的投资不仅能加强福特在短期内将自动驾驶车辆推向市场的领导地位，而且能在未来创造出可授权其他公司使用的新技术 　　美国旧金山，2017年2月10日――福特汽车公司近日宣布，计划在未来五年向人工智能企业Argo AI投资10亿美元，为福特计划于2021年推出的自动驾驶汽车开发虚拟驾驶系统，这一技术有望在今后被授权于其他公司使用
浙报传媒,孚睿基金,company/company/invest,浙报传媒 1 亿元投资孚睿基金，原?IDG?李丰、林中华加盟
携程,天巡,company/company/invest,携程对英国旅游搜索巨头天巡的投资将进一步增强其国际机票实力
阿里巴巴,Lumus,company/company/invest,阿里巴巴在去年11月花了1500万美元投资的AR公司Infinity AR就是以色列的公司，而现在更是豪掷600万美元投资Lumus，可见以色列在AR技术方面具有领先世界的优势
丰厚资本,订房宝,company/company/invest,订房宝获得丰厚资本的天使投资
通用,Lyft,company/company/invest,自今年初，通用投资Lyft之后，通用在交通出行领域也推出了自己的出行服务Maven
红杉资本,斗鱼直播,company/company/invest,9月17日消息，斗鱼直播平台的运营网站广州斗鱼网络科技有限公司，在近日获得了风投 公司红杉资本中国基金的投资，具体的投资金额和详细信息尚不知晓
软银,OneWeb,company/company/invest,软银500亿美元示好特朗普，首笔投资美国初创公司OneWeb
福特,Argo AI,company/company/invest,科技传媒网讯 据国外科技新闻报道，知名汽车制造商福特汽车公司(Ford Motor Co)日前宣布，计划在未来五年对初创科技公司Argo AI投资10亿美元，这将是福特在无人驾驶领域最大一笔投资
