Entity1,Entity2 ,Relation,Example
阿里巴巴,Infinity AR,company/company/invest,同年11月，阿里巴巴以1500万美元领投了以色列另一家AR公司Infinity AR
阿里巴巴,Infinity AR,company/company/invest,在此轮融资完成后，阿里巴巴将成为Infinity AR的最大股东，占股超过22%
阿里巴巴,Infinity AR,company/company/invest,阿里巴巴投资的以色列AR公司Infinity CEO Motti Kurshir在采访中表示
阿里巴巴,Infinity AR,company/company/invest,而2016年11月，另一家以色列AR公司Infinity AR则获得阿里巴巴1500万美元的领投支持
阿里巴巴,Infinity AR,company/company/invest,据了解，此前，阿里巴巴已经投资Magic Leap和Infinity AR
阿里巴巴,Lumus,company/company/invest,1月21日消息，据外媒报道，以色列增强现实（AR）镜头制造商Lumus已获得阿里巴巴投资，投资金额为600万美元
阿里巴巴,Lumus,company/company/invest,今天，以色列金融日报Calcalist 报道说，阿里巴巴也向Lumus投资了600万美元
阿里巴巴,Lumus,company/company/invest,业内人士称，鉴于阿里巴巴的资金实力，此次向Lumus投资600万美元并不算大手笔
阿里巴巴,Lumus,company/company/invest,阿里巴巴在去年11月花了1500万美元投资的AR公司Infinity AR就是以色列的公司，而现在更是豪掷600万美元投资Lumus，可见以色列在AR技术方面具有领先世界的优势
阿里巴巴,Lumus,company/company/invest,马云又放大招了，投资 AR 企业 Lumus 600 万美元 VR & AR 新闻 2017/01/21 近日，有外媒报道以色列增强现实镜头制造商 Lumus 已获得 600 万美元的投资，而投资方则是来自中国的阿里巴巴
阿里巴巴,驻云科技,company/company/invest,已经成为阿里云使命级合作伙伴的驻云科技宣布获得阿里巴巴超过 5000 万人民币的 B 轮投资
阿里巴巴,优酷土豆,company/company/invest,中国领先视频网站优酷土豆公布，其获得阿里巴巴集团和云锋基金的战略投资，双方共向优酷土豆投资12.2亿美元购入后者普通股，阿里巴巴和云锋将分别获得优酷土豆16.5%和2%股权
阿里巴巴,和和（上海）影业有限公司,company/company/invest,今天，阿里巴巴影业集团宣布战略投资和和（上海）影业有限公司，投资完成后阿里影业将持有和和影业30%的股份，成为其第二大股东，并派驻两位代表进入和和影业
阿里巴巴,PlaceIQ,company/company/invest,据 TechCrunch 的消息，阿里巴巴有意向 PlaceIQ 进行投资，但目前尚未宣布交易商谈细节，仅仅透露这是一笔少数股权的交易。
阿里巴巴,PlaceIQ,company/company/invest,位置智能服务供应商 PlacelQ 日前宣布获得阿里巴巴投资，但未透露融资规模，只表示是战略性少数股权融资，并且是对  PlacelQ 在今年 1 月份获得的 2500 万美元 D 轮融资的一次追投。
阿里巴巴,三江购物,company/company/invest,三江购物上周五晚发布公告称阿里巴巴集团子公司杭州阿里巴巴泽泰拟通过协议受让、认购定向增发股票及可交换债等方式，收购其32%股份，成为战略投资者，投资额约21.5亿元人民币
阿里巴巴,Snapdeal,company/company/invest,此前阿里巴巴已联合富士康和软银投资印度的电商企业Snapdeal
阿里巴巴,Paytm E-commerce Pvt,company/company/invest,据知情人士透露，中国的阿里巴巴集团将牵头一轮2亿美元的投资，投资对象为新创建的印度网上零售商Paytm E-commerce Pvt
阿里巴巴,Paytm,company/company/invest,同年，阿里巴巴和其子公司蚂蚁金服向印度最大手机钱包公司Paytm投资近6.8亿美元，持股40%
阿里巴巴,软银,company/company/invest,最后，马云再苦等两个小时后获得了孙正义6分钟的交谈时间，最终阿里巴巴获得了日本软银2000万美元的投资
阿里巴巴,口碑网,company/company/invest,口碑网成立于2015年6月，正值O2O生活服务平台激烈角逐时期，阿里巴巴和蚂蚁金服共同向口碑网投资约10亿美元，各占这家合资公司的50%的股权，同时淘点点业务并入口碑，并且口碑的业务推广重点却从外卖转向到店业务
阿里巴巴,盒马鲜生,company/company/invest,盒马鲜生一出世就在商业圈儿出了名，阿里巴巴投资1.5亿美金
阿里巴巴,Lazada,company/company/invest,在投资层面，阿里巴巴动作频频，投资了Tango、Pepper、MagicLeap、Lazada等海外业务
阿里,Lazada,company/company/invest,今年4月，阿里以10亿美元投资有“东南亚亚马逊”之称、东南亚最大电商Lazada
阿里巴巴,三江购物,company/company/invest,2015年以来，阿里巴巴相继入股苏宁云商、联华超市、三江购物，京东则战略入股永辉超市
阿里云,Zstack,company/company/invest,ZStack获得阿里云领投数千万A轮投资并发布混合云战略
腾讯,膜拜单车,company/company/invest,新年刚开始，摩拜单车又完成了新一轮融资，从中国自行车共享服务的拥挤群体中脱颖而出，筹得2.15亿美元融资。由中国互联网巨头腾讯公司与美国华平投资联合领头。
腾讯,在行&分答,company/company/invest,今日早间，在行&分答方面对钛媒体表示，该公司获得了来自国内知名巨头腾讯的 A+ 轮融资，由穆棉资本作为独家财务顾问。
腾讯,海云捷迅,company/company/invest,9月21日消息，腾讯与海云捷迅昨日下午在京共同宣布达成战略投资合作关系，海云捷迅接受腾讯的战略投资，双方将在产品、市场、生态上展开合作。
腾讯,Keep,company/company/invest,运动应用Keep通过腾讯创业首次对外宣布，其已获得来自腾讯的C＋轮战略投资，距离上次C轮披露时间仅间隔1个月，具体融资金额未透露。
腾讯,Hike Messenger,company/company/invest,据台湾“中央社”8月16日报道，有“印度WhatsApp”之称的实时通讯软件Hike Messenger，16日获得以台湾鸿海集团旗下富士康和中国大陆腾讯为首的财团投资1.75亿美元。
腾讯,Teambition,company/company/invest,近日，Teambition已确认于近期获得腾讯投资，这是腾讯在企业级SaaS领域为数不多的战略投资
腾讯,搜狗,company/company/invest,同时，财大气粗的腾讯也投资了不少人工智能公司，比如刚把人工智能当做重点发展方向的搜狗等等
腾讯,蔚来,company/company/invest,根据公开消息，蔚来初期曾获得顺为、京东、高瓴资本、腾讯基金和易车共 5 亿美元注资，15 年 9 月得到红杉中国、愉悦资本共 5 亿美元融资
腾讯,易鑫金融,company/company/invest,嗅觉敏锐的互联网巨头，腾讯、京东和百度惊叹于互联网 + 汽车金融市场的庞大体量与易鑫金融惊人的发展速度，自 2015 年初起一年半时间先后战略入股易鑫金融，注资高达 60 亿人民币
腾讯,京东,company/company/invest,与此同时我们也看到阿里的老对手京东也接受了腾讯的投资，引入腾讯成为最大机构股东，看重的也是腾讯旗下微信的社交能力，后来也证明京东和微信的联手，加速了京东社交电商的运营能力
腾讯,京东,company/company/invest,而且，京东最大的股东虽然是腾讯，但刘强东本人却拥有80%以上投票权
百度,ZestFinance,company/company/invest,7月18日，百度宣布战略投资美国金融科技公司ZestFinance，该公司的主营业务是将机器学习与大数据分析融合起来提供更加精准的信用评分
百度,Velodyne,company/company/invest,今日，Velodyne 公司发布公告称，旗下激光雷达公司获得百度与福特公司 1.5 亿美元的共同投资，三方将围绕无人驾驶领域展开全方位合作
百度,易车网,company/company/invest,今年6月，易车网已经获得了腾讯、百度和京东各5000万美元的投资
百度,易车网,company/company/invest,而汽车之家的老对头易车网，则于今年6月获得了来自腾讯、百度、京东三方的3亿美元战略投资；8月，三方继续注资易车旗下的金融服务商易鑫资本，投资额达5.5亿美元
百度,易车网,company/company/invest,今年8月，京东再联合腾讯、百度投资5.5亿美元，注入易车网旗下专注于汽车融资的子公司易鑫资本，在最新发布的2016年Q2财报中，我们可以看到京东已成为易车的第一大股东，持有易车26%的股份
百度,易车网,company/company/invest,易车网表示，腾讯、百度和京东等三大投资者的数据组合、用户和资金，将有助于易鑫资本进行更准确、更高效的信用评估，同时提升其为客户提供金融产品和服务的能力
百度,易车网,company/company/invest, 易车网创始人、董事长兼CEO李斌表示：“今天我们很高兴宣布获得全球领先企业腾讯、百度和京东等战略合作伙伴的新一轮投资
百度,易车网,company/company/invest,北京商报讯（记者 魏蔚）在拿到京东腾讯联合投资15.5亿美元后18个月，易车网再度获得巨头注资，此次易车网的产业投资方名单上多了百度
苹果,软银,company/company/invest,美国苹果公司３日确认，将向日本软银公司创办的技术基金投资１０亿美元
高通公司,软银,company/company/invest,"据外媒4日报道，知情人士称，软银集团股份有限公司(SoftBank Group Corp., 9984.TO, 简称：软银)的新科技基金吸引了芯片制造商高通公司(Qualcomm Inc., QCOM)作为投资者，从而帮助这只规模庞大的基金实现筹资1,000亿美元的目标。"
苹果,软银,company/company/invest,苹果今天宣布公司 10 亿美元投资日本公司软银（SoftBank）的 Vision Fund（愿景基金），并确认两家公司在去年12月就进行了会谈。
谷歌,Terra Bella,company/company/invest,"该消息人士还透露,谷歌将成为Planet Labs的大股东,并继续基于对Terra Bella将可取得长期成功的期待而对其进行投资"
谷歌,百度,company/company/invest,谷歌曾投资过迅雷、大众点评、百度等中国明星项目
美团点评,爱鲜蜂,company/company/invest,11月4日爱鲜蜂宣布获得来自美团点评的投资，但双方均未透露具体融资金额，仅表示双方将在O2O社区即时配送服务领域展开合作
完美世界,百度,company/company/invest,7月4日，百度宣布，旗下百度文学业务引入完美世界集团的战略投资，双方将以文学为连接点，在文学业务、版权业务、影游投资开发、影游产业链联动等方面展开深度合作
晨兴资本,快手,company/company/invest,据了解，快手于2012年4月完成30万美元天使轮融资，投资方为晨兴资本
软银,SoFi,company/company/invest,2015年9月30日，SoFi通过官网声明，软银当日以10亿美元领投SoFi
软银,Snapdeal,company/company/invest,2015年8月，阿里巴巴联合富士康、软银在内的投资者向印度电商巨头Snapdeal投资了5亿美元
软银,FetchRobotics,company/company/invest,此外，软银资本向FetchRobotics公司投资2000万美元
软银,Snapdeal,company/company/invest,由日本软银、阿里巴巴参与投资的Snapdeal占据了约12%的市场份额，排在第三位
软银,Grab,company/company/invest,得到日本软银等多个投资者支持的Grab周四宣布，这笔投资将用于在雅加达建立一个研究中心，以及成立一只1亿美元的投资基金投资当地金融科技公司
软银,WeWork,company/company/invest,网易科技讯 1月31日消息 据路透社报道，华尔街日报引用知情人士的消息称，软银集团公司正在考虑向联合办公空间创企WeWork投资10亿美元
软银,阿里,company/company/invest,2004年我们进入电商时，当当卓越都已经拿到C轮融资了，阿里也拿到了雅虎、软银10个亿美金的投资，在我们进入电商那一刻时，我们所有的竞争对手都绝对是大象级的，而我们只相当于一个小柜台
软银,阿里巴巴,company/company/invest,这笔“天使投资”不仅解了马云的燃眉之急，同时也为阿里吸引到了软银2000万美元的入股
软银,阿里巴巴,company/company/invest,到了2004年，互联网泡沫的破灭让高盛对中国电子商务前景看衰，其所持有阿里巴巴的股权由GGV接手，套现2200万美元离场，而软银、富达等则继续加码，为阿里提供了8200万美元的巨额战略投资
软银,阿里巴巴,company/company/invest,此番减股后，日本软银集团所持有的阿里巴巴股份，将会从32%下降到28%左右
软银,阿里,company/company/invest,有专业财经媒体评论说，“若是没有蔡崇信，阿里恐怕撑不过电子商务泡沫；没有他，阿里就拿不到软银资金、吃不下雅虎中国
软银,Snapdeal,company/company/invest,由日本软银、阿里巴巴参与投资的Snapdeal占据了约12%的市场份额，排在第三位
软银,阿里,company/company/invest,软银出售的阿里股份总价值达到了89亿美元
